0.92	,	130	,	1021.6	,	11.27	,	8.05	,	-0.555555556
0.73	,	330	,	1017	,	20.93	,	16.1	,	21.11111111
0.97	,	193	,	1013.99	,	5.9731	,	14.9086	,	16.6
0.82	,	300	,	1031.59	,	3.22	,	16.1	,	1.6
0.6	,	116	,	1020.88	,	10.8836	,	9.982	,	2.194444444
0.32	,	190	,	1015.33	,	21.4613	,	10.3523	,	27.53888889
0.84	,	170	,	1009.04	,	7.9695	,	11.1251	,	19.97777778
0.86	,	30	,	1009.6	,	14.49	,	15.134	,	11.11111111
0.73	,	351	,	1018.39	,	14.007	,	15.8263	,	8.405555556
0.81	,	320	,	1003.89	,	6.44	,	7.8568	,	1.7
0.88	,	141	,	1021.28	,	14.007	,	6.0214	,	-2.222222222
0.6	,	204	,	1019.52	,	1.4168	,	15.8263	,	21.9
0.87	,	1	,	1015.92	,	11.0285	,	14.9086	,	17.10555556
0.73	,	297	,	1013.06	,	4.0733	,	9.7566	,	17.77222222
0.39	,	35	,	1025.59	,	7.6636	,	9.982	,	24.95
0.92	,	310	,	1024.3	,	3.22	,	3.4615	,	-2.711111111
0.78	,	180	,	1018.76	,	4.83	,	9.982	,	18.88888889
0.82	,	280	,	1009	,	20.3987	,	15.8263	,	4.327777778
0.54	,	349	,	1013.24	,	9.3219	,	16.1	,	23.88888889
0.68	,	350	,	1019.48	,	12.3809	,	9.982	,	-2.222222222
0.78	,	32	,	1022.92	,	23.6831	,	14.168	,	8.972222222
0.35	,	40	,	1018.01	,	11.27	,	16.1	,	21.2
0.83	,	190	,	1014.18	,	1.7549	,	16.1	,	7.761111111
0.58	,	241	,	1013.71	,	26.4684	,	16.1	,	16.03888889
0.4	,	180	,	1011.3	,	15.0213	,	9.982	,	25.99444444
0.7	,	13	,	1012.96	,	12.5097	,	9.982	,	17.80555556
0.92	,	143	,	1036.65	,	9.1126	,	1.0465	,	0.066666667
0.9	,	160	,	1009.98	,	10.7548	,	7.2128	,	12.77777778
0.86	,	192	,	1012.82	,	3.1878	,	6.1985	,	5.994444444
0.9	,	71	,	1008.54	,	11.27	,	6.3595	,	-4.372222222
0.93	,	170	,	1015.81	,	3.22	,	15.7297	,	14.97777778
0.96	,	253	,	1012.53	,	9.66	,	3.0107	,	12.77777778
0.81	,	120	,	1022.6	,	20.0767	,	9.9015	,	12.06111111
0.75	,	20	,	1023.4	,	3.22	,	16.1	,	15
0.38	,	223	,	1006.44	,	19.1429	,	15.5526	,	22.73333333
0.56	,	109	,	1015.94	,	10.2074	,	15.5526	,	12.54444444
0.74	,	221	,	1007.3	,	11.0446	,	11.27	,	20.81111111
0.74	,	290	,	1014.48	,	11.27	,	9.982	,	22.6
0.74	,	358	,	1008.34	,	24.6169	,	9.6278	,	13.66111111
0.29	,	309	,	1017.31	,	17.0821	,	9.982	,	23.91111111
0.96	,	323	,	1032.17	,	7.6958	,	9.982	,	2.572222222
0.73	,	200	,	1014.9	,	9.66	,	11.27	,	21.11111111
0.86	,	311	,	1018.23	,	20.6885	,	5.2164	,	4.983333333
0.65	,	320	,	1016.46	,	20.5275	,	9.982	,	27.10555556
0.83	,	140	,	1002.7	,	14.49	,	16.1	,	7.222222222
0.68	,	1	,	1015.8	,	11.2056	,	11.27	,	25.00555556
0.99	,	315	,	1014.85	,	3.6386	,	6.2951	,	16.13333333
0.84	,	355	,	1027.12	,	3.2361	,	14.168	,	11.38888889
0.78	,	9	,	1017.82	,	9.1287	,	6.2951	,	2.294444444
0.96	,	197	,	992.24	,	26.4523	,	15.0052	,	9.583333333
0.61	,	309	,	1019.96	,	44.6292	,	11.4954	,	9.05
0.87	,	130	,	1011.08	,	10.6904	,	14.812	,	4.977777778
0.95	,	146	,	1030.02	,	1.7388	,	8.5813	,	12.21111111
0.71	,	170	,	1032.8	,	6.44	,	15.134	,	-3.333333333
0.86	,	311	,	1017.52	,	10.3845	,	15.1823	,	17.82222222
0.47	,	267	,	1015.5	,	8.0339	,	10.3523	,	29.82777778
0.78	,	150	,	993.93	,	34.6955	,	9.8693	,	12.78888889
